116507000: system.cpu.dcache.tags: From 0	 to 1
116843000: system.cpu.dcache.tags: From 0	 to 1
116851000: system.cpu.dcache.tags: From 0	 to 1
116859000: system.cpu.dcache.tags: From 0	 to 1
117195000: system.cpu.dcache.tags: insert 0 	 1
117315000: system.cpu.dcache.tags: From 0	 to 1
117319000: system.cpu.dcache.tags: From 0	 to 1
117651000: system.cpu.dcache.tags: insert 0 	 1
117987000: system.cpu.dcache.tags: insert 0 	 1
118203000: system.cpu.dcache.tags: insert 0 	 1
118311000: system.cpu.dcache.tags: insert 0 	 1
118525000: system.cpu.dcache.tags: insert 0 	 1
118633000: system.cpu.dcache.tags: insert 0 	 1
118743000: system.cpu.dcache.tags: insert 0 	 1
118851000: system.cpu.dcache.tags: insert 0 	 1
119065000: system.cpu.dcache.tags: insert 0 	 1
119173000: system.cpu.dcache.tags: insert 0 	 1
119285000: system.cpu.dcache.tags: From 0	 to 1
123139000: system.cpu.dcache.tags: From 0	 to 1
123561000: system.cpu.dcache.tags: From 0	 to 1
123983000: system.cpu.dcache.tags: From 0	 to 1
124265000: system.cpu.dcache.tags: insert 0 	 1
124613000: system.cpu.dcache.tags: From 0	 to 1
124753000: system.cpu.dcache.tags: insert 0 	 1
124861000: system.cpu.dcache.tags: insert 0 	 1
124977000: system.cpu.dcache.tags: insert 0 	 1
125109000: system.cpu.dcache.tags: insert 0 	 1
125273000: system.cpu.dcache.tags: insert 0 	 1
125555000: system.cpu.dcache.tags: From 0	 to 1
125977000: system.cpu.dcache.tags: From 0	 to 1
126227000: system.cpu.dcache.tags: insert 0 	 1
126503000: system.cpu.dcache.tags: From 0	 to 1
126925000: system.cpu.dcache.tags: From 0	 to 1
127347000: system.cpu.dcache.tags: From 0	 to 1
127675000: system.cpu.dcache.tags: From 0	 to 1
127915000: system.cpu.dcache.tags: From 0	 to 1
