
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.287096                       # Number of seconds simulated
sim_ticks                                287095735000                       # Number of ticks simulated
final_tick                               287095735000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 403018                       # Simulator instruction rate (inst/s)
host_op_rate                                   749054                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                            16889552271                       # Simulator tick rate (ticks/s)
host_mem_usage                                 640436                       # Number of bytes of host memory used
host_seconds                                    17.00                       # Real time elapsed on the host
sim_insts                                     6850660                       # Number of instructions simulated
sim_ops                                      12732727                       # Number of ops (including micro ops) simulated
system.physmem.bytes_read::cpu.inst            276656                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu.data          40246544                       # Number of bytes read from this memory
system.physmem.bytes_read::total             40523200                       # Number of bytes read from this memory
system.physmem.bytes_inst_read::cpu.inst       276656                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::total          276656                       # Number of instructions bytes read from this memory
system.physmem.bytes_written::writebacks     15991728                       # Number of bytes written to this memory
system.physmem.bytes_written::total          15991728                       # Number of bytes written to this memory
system.physmem.num_reads::cpu.inst              17291                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu.data            2515409                       # Number of read requests responded to by this memory
system.physmem.num_reads::total               2532700                       # Number of read requests responded to by this memory
system.physmem.num_writes::writebacks          999483                       # Number of write requests responded to by this memory
system.physmem.num_writes::total               999483                       # Number of write requests responded to by this memory
system.physmem.bw_read::cpu.inst               963637                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu.data            140185099                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::total               141148736                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_inst_read::cpu.inst          963637                       # Instruction read bandwidth from this memory (bytes/s)
system.physmem.bw_inst_read::total             963637                       # Instruction read bandwidth from this memory (bytes/s)
system.physmem.bw_write::writebacks          55701726                       # Write bandwidth from this memory (bytes/s)
system.physmem.bw_write::total               55701726                       # Write bandwidth from this memory (bytes/s)
system.physmem.bw_total::writebacks          55701726                       # Total bandwidth to/from this memory (bytes/s)
system.physmem.bw_total::cpu.inst              963637                       # Total bandwidth to/from this memory (bytes/s)
system.physmem.bw_total::cpu.data           140185099                       # Total bandwidth to/from this memory (bytes/s)
system.physmem.bw_total::total              196850462                       # Total bandwidth to/from this memory (bytes/s)
system.membus.throughput                    196850462                       # Throughput (bytes/s)
system.membus.trans_dist::ReadReq             1533279                       # Transaction distribution
system.membus.trans_dist::ReadResp            1533279                       # Transaction distribution
system.membus.trans_dist::Writeback            999483                       # Transaction distribution
system.membus.trans_dist::ReadExReq            999421                       # Transaction distribution
system.membus.trans_dist::ReadExResp           999421                       # Transaction distribution
system.membus.pkt_count_system.cpu.icache.mem_side::system.physmem.port        34582                       # Packet count per connected master and slave (bytes)
system.membus.pkt_count_system.cpu.icache.mem_side::total        34582                       # Packet count per connected master and slave (bytes)
system.membus.pkt_count_system.cpu.dcache.mem_side::system.physmem.port      6030301                       # Packet count per connected master and slave (bytes)
system.membus.pkt_count_system.cpu.dcache.mem_side::total      6030301                       # Packet count per connected master and slave (bytes)
system.membus.pkt_count::system.physmem.port      6064883                       # Packet count per connected master and slave (bytes)
system.membus.pkt_count::total                6064883                       # Packet count per connected master and slave (bytes)
system.membus.tot_pkt_size_system.cpu.icache.mem_side::system.physmem.port       276656                       # Cumulative packet size per connected master and slave (bytes)
system.membus.tot_pkt_size_system.cpu.icache.mem_side::total       276656                       # Cumulative packet size per connected master and slave (bytes)
system.membus.tot_pkt_size_system.cpu.dcache.mem_side::system.physmem.port     56238272                       # Cumulative packet size per connected master and slave (bytes)
system.membus.tot_pkt_size_system.cpu.dcache.mem_side::total     56238272                       # Cumulative packet size per connected master and slave (bytes)
system.membus.tot_pkt_size::system.physmem.port     56514928                       # Cumulative packet size per connected master and slave (bytes)
system.membus.tot_pkt_size::total            56514928                       # Cumulative packet size per connected master and slave (bytes)
system.membus.data_through_bus               56514928                       # Total data (bytes)
system.membus.snoop_data_through_bus                0                       # Total snoop data (bytes)
system.membus.reqLayer0.occupancy          5531152000                       # Layer occupancy (ticks)
system.membus.reqLayer0.utilization               1.9                       # Layer utilization (%)
system.membus.respLayer1.occupancy           51873000                       # Layer occupancy (ticks)
system.membus.respLayer1.utilization              0.0                       # Layer utilization (%)
system.membus.respLayer2.occupancy         7546227000                       # Layer occupancy (ticks)
system.membus.respLayer2.utilization              2.6                       # Layer utilization (%)
system.cpu.workload.num_syscalls                 4170                       # Number of system calls
system.cpu.numCycles                        287095735                       # number of cpu cycles simulated
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.committedInsts                     6850660                       # Number of instructions committed
system.cpu.committedOps                      12732727                       # Number of ops (including micro ops) committed
